1:52:57	ARS 50.00	UC__HNc2Q9t6fH5cXnqrH-lw	💗🥄ケンジ 【一般紳士A】	迷宮の上で大きな幽霊やカボチャの立ち絵を作ったほうがいいかも:ghost:？
2:52:57	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:54:40	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:55:32	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:55:56	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:56:33	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:56:57	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:57:19	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:58:09	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
13:47	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
14:12	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
14:33	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
14:43	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
15:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
15:49	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
16:22	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
16:44	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
17:33	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
18:03	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
18:29	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
19:05	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
19:40	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
20:02	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
20:29	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
20:52	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
21:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
21:57	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
22:20	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
22:54	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
23:43	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
24:12	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
24:40	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
25:29	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
26:04	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
26:53	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
27:23	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
27:57	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
28:35	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
29:20	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
30:35	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
31:04	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
31:27	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
32:03	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
32:58	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
33:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
33:55	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
34:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
34:54	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
35:46	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
36:14	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
36:40	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
37:42	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
38:11	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
38:44	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
39:39	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
40:15	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
40:45	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
41:13	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
41:38	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
42:10	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
42:43	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
43:13	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
44:29	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
44:53	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
45:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
46:27	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
46:49	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
47:17	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
47:50	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:29:53	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:30:21	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:30:51	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:31:24	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:32:16	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:33:36	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:34:22	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:35:06	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:36:39	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:36:52	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:11:46	NT$30.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	花雲 我愛你 愛してる i love you :red_heart::red_heart::red_heart:
5:36:36	NT$75.00	UC0FsA0zONii6QJW6gJJ7PQw	蔡蔡 Tsai Tsai	私はヴェインです！今日は楽しかった、ありがとう！また今度やろうね！:smiling_face_with_hearts:
57:41	NT$30.00	UC1I9rWyovA0xrIY3cmWWfJg	極光永照	初見です、よろしくお願いします。
2:01:07	NT$30.00	UC1I9rWyovA0xrIY3cmWWfJg	極光永照	おつkissh
1:17:19	ARS 1,000.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	​はろりんりん～俺が来たぞ！！りんちゃん頑張ってね :heart_suit: :heart_suit::heart_suit:
26:06	NT$1,500.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	どうして最初に会った時と同じなんだ？ また泣いているのか！？ 何てバカなんだ！？( >ω<)ヾ(･ω･ヾ)ﾜｼｬﾜｼｬ
1:11:44	NT$150.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	頑張りすぎないでくださいね。 おつかれさまでした!
1:13:07	NT$150.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	みんな大好きだよ～～
2:35:51	NT$150.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	凛ちゃんが喫茶店を開いたなんて。見に来ないとね。
11:42	NT$150.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	動きも細かくなって、より可愛くなりましたね!お帰りなさい。
17:00	NT$150.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	はちゃち先生は、本当に素敵に凛ちゃんを変えてくれました。
40:33	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	昨日、舞ちゃんとデートしてきました
24:26	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	水を飲むことを忘れずに。
44:19	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	花の国、ちょっとした水が必要なようだ。
1:14:22	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	ꉂ (ˊᗜˋ*)C= C= C= C= C=┌(;●´∀`●)┘逃げろ！！！
13:12	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	久しぶりに5人揃った姿を見たような気がします。
1:06:13	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	初見です，こんなに面白いコラボレーションは初めて見ました！。すでに登録済みです。
1:08:44	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	なぜ、あずの反応がおかしいのか？w
1:41:01	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	迷宮の外に花火のような仕掛けがあったら面白いですね。
1:42:43	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	SHINOBEポン
9:41	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	泣かないで！泣いたら子豚になっちゃうよ！？
1:17:48	NT$30.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	もう怖くないYO!( ꈍᴗꈍ)\(*´ωˋ *)ﾖｼﾖｼみんなが待っていますよ。
1:10:46	NT$300.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	いいね～、今日は嫌なことがあったから、頑張っている凛ちゃんにちょっとしたお小遣いをあげようかな
7:32	NT$300.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	りんちゃん今日も頑張れ！おやすみなさい。
22:12	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	応援してくださる方も増えてきました。お兄ちゃんになれて本当に嬉しいです。凛ちゃんにも、もっと上のステージに進んでほしい。
17:47	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	このゲームはジョークだよね？:_わらい::_わらい::_わらい:
55:29	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	目が大きく開いていますね。:_わらい::_わらい:大丈夫ですよ。( ꈍᴗꈍ)\(*´ωˋ *)ﾖｼﾖｼ 
1:38:27	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	2期生の4つの誕生日祝いを1つの画像にまとめました。ツイッターに載せました。それは本当に記念すべきことです。
1:55:26	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	あるいは「KISSH」のテキスト。2期生が一緒に活動した記念品。
1:36:59	NT$75.00	UC2Ean2g7RFvXk1Yllc6IqIw	Edward Nerv	凛ちゃんは意外と勇気があるんですねー。 応援してくれる人がたくさんいて、頑張っていますね！見ていますよ。 今年もよろしくお願いします。
3:41:07	NT$75.00	UC3fPFWWIdLcq4AzUMWqf8Jw	佐渡リュナ(satoryuna)	先のレイスです　下手くそでごめんなさい　楽しいです
1:19:48	NT$75.00	UC3YUoBh0MjK0QIJfWz9pJcw	齊爾	ありがとう
2:15:24	NT$30.00	UC5p1m4HAHir4qP0HBKx3ZWg	ドMKayo	初見です、可愛い:red_heart:
1:48:08	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:48:34	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:48:58	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:49:29	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:49:52	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:50:21	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:50:48	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:51:21	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:51:41	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:52:03	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:52:27	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:53:01	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:53:28	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:53:54	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:54:16	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:54:46	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:55:09	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:55:43	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:56:10	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:56:43	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:57:07	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:57:40	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:58:12	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:58:34	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:58:57	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:59:20	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
1:59:52	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:08:20	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:08:50	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:09:12	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:09:52	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:10:32	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:10:54	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:11:31	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:11:53	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:12:45	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:13:08	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:13:35	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:13:57	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:14:23	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:14:47	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:15:27	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:15:49	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:16:11	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:16:46	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:17:12	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:17:56	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:18:44	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:19:06	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:19:42	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:20:27	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:20:56	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:21:31	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:22:02	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:22:26	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:22:57	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:23:19	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:24:00	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:24:26	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
2:24:51	NT$15.00	UC6znIRvCIjf-scYNvuHp7zw	魔流風痕⚜️劍隨風行 消失中	
3:27:49	NT$75.00	UC8n9vdWYsWzI7MkY-NhXWXg	湊秋月	初見です、いい声ですね！
4:16:00	NT$15.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	
1:06:41	NT$150.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	こんばんはー:_はろりん:10ヶ月おめでとうございますねりんりん！:_ふにゃふにゃりん:これからもずっと大好きだよ□
2:22:37	NT$30.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	世界一可愛いりんりんいつもありがとうございますね！ずっと大好きだよ:_ふにゃふにゃりん:！
2:35:15	NT$30.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	大好き:_ふにゃふにゃりん:
3:16:15	NT$75.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	5ヶ月おめでとうりんちゃんーいつも最高なASMR配信ありがとうございますね
1:18:16	NT$75.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	おやすみなさい□明日も頑張りましょう:_ふにゃふにゃりん::_ふにゃふにゃりん:りんりん大好き□
4:14:06	NT$75.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	りんりん大好き:_ふにゃふにゃりん:
3:47:05	NT$75.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	こんばんはー:_はろりん:りんりん大好き□9ヶ月おめでとう～:_ふにゃふにゃりん:それで明けましておめでとう、今年もよろしくね:_ふにゃふにゃりん:
2:39:49	NT$75.00	UC8yB8pm8LQe31h-mvaKwgIw	o恩璃うんりo	すき:_ふにゃふにゃりん::_ふにゃふにゃりん:
31:51	NT$30.00	UC90ABE09fCsapXbtxLXlojQ	零ノ星守	りんちゃんかわいい、大好き、愛してる、僕と結婚しよう。僕は明日重要なテストがあるからチューお願いね
1:09:10	NT$30.00	UC90ABE09fCsapXbtxLXlojQ	零ノ星守	りんちゃん今日もかわいい:_ふにゃふにゃりん:愛してる、僕と結婚しよう:_ふにゃふにゃりん:チューお願い
1:27:56	NT$30.00	UC90ABE09fCsapXbtxLXlojQ	零ノ星守	今日は僕の誕生日です、大好きなりんちゃんのチュー欲しい:_ふにゃふにゃりん::_ふにゃふにゃりん:
38:58	NT$30.00	UC90ABE09fCsapXbtxLXlojQ	零ノ星守	りんちゃん５万人おめでとうね、りんちゃん偉い、大好きだ！！これからもずっと応援するね、ずっと愛してる
30:07	HK$25.00	UC9OKMQg-H65__cMSZQKZw_w	失敗者	りんちゃんお誕生日おめでとう:party_popper::party_popper::party_popper:
40:40	ARS 1,000.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	凛ちゃん、お誕生日おめでとうございます。とてもSな人を探していますか？
43:38	ARS 1,000.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	あなたを満足させることができるのは、俺だけのようですね。ꉂ (ˊᗜˋ*)
47:29	ARS 10.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	
47:36	ARS 10.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	
1:11:01	ARS 100.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	りんちゃん大好き！！！
48:27	ARS 20.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	丁寧に
1:24:47	NT$75.00	UC9wFegmhBrWpSSvDaI0ayYQ	比讚基德-サムズアップ・キッド	どういたしまして、皆さんASMRを楽しんでください。私はもう休むので、おやすみなさい。
31:15	NT$150.00	UCa3ELKwktDhk0MV1Je27G4w	弥夜にゃ[Yayanya]	りんちゃんお誕生日おめでとうにゃん:smiling_face_with_hearts:これからもずっと大好きだよ:white_heart:ぎゅ:_てれりん:
1:27:56	NT$30.00	UCa3ELKwktDhk0MV1Je27G4w	弥夜にゃ[Yayanya]	りんちゃん頑張ろにゃん:_わらい:
1:54:41	NT$30.00	UCAk-GK73ZXyhMEl_d4YEeCQ	くるい	お誕生日おめでとうございます。おやすみ□
16:52	NT$30.00	UCAk-GK73ZXyhMEl_d4YEeCQ	くるい	りんちゃんおやすみ！収益化戻ってよかったですね！
1:34:19	NT$70.00	UCAk-GK73ZXyhMEl_d4YEeCQ	くるい	デビュー四ヶ月おめでとう:party_popper:りんちゃんいつもかわいい\(//∇//)\
32:16	HK$25.00	UCALoMDogSfR756erIpxCH3A	φ墮落の天使ღ	誕生日おめでと~:_わらい::_わらい:
19:23	HK$25.00	UCAOdJzfg9YmDMp9X-_Bplzw	汐璃 - しおり .	海外からの女の子ファンですー！りんちゃんの声が好きでいつも配信見てます！これからも頑張ってください、応援してます！
1:04:36	ARS 25.00	UCAtWA_ZA8XMGr6gg9QhnMRw	C.K. Au	初見です すごくいい感じな建物です kisshの素晴らしいな絆と 3期生がめちゃ優しい先輩がいるに
5:17:18	NT$30.00	UCaUQnBRwla3z67D2cQCuFyw	伊亞修斯イヤシュキIyaShuki	ラスト頑張ってね～　くまぽんずファイト！
7:03:06	NT$30.00	UCaUQnBRwla3z67D2cQCuFyw	伊亞修斯イヤシュキIyaShuki	おつくまぽんず～　今日も面白かった！朝まで配信して本当にお疲れ様でした！みんなもゆっくり休んでね～
2:50:54	NT$1,500.00	UCAXhphxtVmfkDk4YhtWm3gw	安部	おつりんりん、今日はたくさんの美しい歌を歌えることをとてもうれしく思います:red_heart:楽しかった、ありがとう°半年デビューおめでとうございます、これからもよろしくお願いします、大好き
58:31	NT$150.00	UCAXhphxtVmfkDk4YhtWm3gw	安部	あなたを知った最初の年に、このような特別な日をあなたと過ごすことができて本当にうれしいです。過去数ヶ月で、私たちは多くの興味深い思い出を持っています。あなたとの毎日を楽しみにしています。大好きなりんちゃん、お誕生日おめでとう:_ふにゃふにゃりん:
25:47	NT$150.00	UCAXhphxtVmfkDk4YhtWm3gw	安部	新しいのりんちゃんかわいい:_うれしいうさぎ: 、またりんちゃん好きになった:_ちらりん:、りんちゃん大好き:_わーい::two_hearts:
17:12	NT$300.00	UCAXhphxtVmfkDk4YhtWm3gw	安部	りんちゃんデビュー3ヶ月＆2.5万人おめでとう:party_popper:私は3ヶ月間お互いを知っています、あなたの笑顔と癒しに感謝します。私はあなたと長く一緒にいることはできませんが、あなたを知ることは素晴らしいことです:_ふにゃふにゃりん:花雲りんあなたが一番大好きだよ:sparkling_heart:
